GAME_DATE,GAME_ID,SEASON,HOME_TEAM_WINS,HOME_TEAM,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,VISITOR_TEAM,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2022-03-07,22100528,2021,1,Denver Nuggets,131,0.548,0.707,0.313,39,41,Golden State Warriors,124,0.511,0.739,0.425,29,41
2022-03-07,22100974,2021,0,Sacramento Kings,115,0.488,0.722,0.344,23,40,New York Knicks,131,0.511,0.826,0.429,19,47
2022-03-06,22100960,2021,1,Boston Celtics,126,0.482,0.763,0.472,25,37,Brooklyn Nets,120,0.506,0.9,0.444,24,45
2022-03-06,22100961,2021,1,Milwaukee Bucks,132,0.54,0.793,0.469,31,48,Phoenix Suns,122,0.538,0.727,0.452,33,27
2022-03-06,22100963,2021,1,Washington Wizards,133,0.523,0.813,0.405,33,36,Indiana Pacers,123,0.518,0.862,0.323,28,42
2022-03-06,22100964,2021,1,Houston Rockets,123,0.524,0.667,0.382,23,45,Memphis Grizzlies,112,0.454,0.704,0.192,27,40
2022-03-06,22100965,2021,0,Oklahoma City Thunder,103,0.424,0.895,0.2,20,47,Utah Jazz,116,0.449,0.765,0.442,27,48
2022-03-06,22100962,2021,1,Cleveland Cavaliers,104,0.459,0.652,0.306,24,58,Toronto Raptors,96,0.394,0.615,0.25,17,45
2022-03-06,22100967,2021,1,Denver Nuggets,138,0.54,0.791,0.303,32,47,New Orleans Pelicans,130,0.475,0.69,0.424,30,49
2022-03-06,22100966,2021,0,Los Angeles Clippers,93,0.375,0.727,0.324,17,43,New York Knicks,116,0.472,0.633,0.448,19,57
2022-03-05,22100954,2021,1,Dallas Mavericks,114,0.476,0.741,0.389,22,39,Sacramento Kings,113,0.489,0.667,0.36,24,45
2022-03-05,22100955,2021,1,Charlotte Hornets,123,0.462,0.793,0.381,29,50,San Antonio Spurs,117,0.459,0.8,0.297,28,51
2022-03-05,22100956,2021,1,Miami Heat,99,0.486,0.842,0.464,20,38,Philadelphia 76ers,82,0.341,0.826,0.171,13,41
2022-03-05,22100957,2021,1,Memphis Grizzlies,124,0.5,0.667,0.412,25,55,Orlando Magic,96,0.43,0.688,0.314,25,41
2022-03-05,22100958,2021,1,Minnesota Timberwolves,135,0.565,0.828,0.405,36,42,Portland Trail Blazers,121,0.471,0.833,0.421,24,41
2022-03-05,22100959,2021,1,Los Angeles Lakers,124,0.494,0.857,0.439,25,47,Golden State Warriors,116,0.5,0.474,0.441,22,41
2022-03-04,22100946,2021,1,Detroit Pistons,111,0.447,0.667,0.5,28,52,Indiana Pacers,106,0.39,0.643,0.25,24,55
2022-03-04,22100947,2021,1,Philadelphia 76ers,125,0.547,0.906,0.424,23,30,Cleveland Cavaliers,119,0.537,0.875,0.357,30,41
2022-03-04,22100948,2021,0,Washington Wizards,114,0.541,0.889,0.483,37,41,Atlanta Hawks,117,0.418,0.824,0.361,18,39
2022-03-04,22100458,2021,0,Toronto Raptors,97,0.398,0.647,0.324,22,54,Orlando Magic,103,0.379,0.952,0.297,24,55
2022-03-04,22100949,2021,0,Chicago Bulls,112,0.5,0.727,0.385,25,40,Milwaukee Bucks,118,0.489,0.667,0.323,20,50
2022-03-04,22100950,2021,1,New Orleans Pelicans,124,0.515,0.765,0.306,29,52,Utah Jazz,90,0.348,0.654,0.268,15,52
2022-03-04,22100951,2021,0,Oklahoma City Thunder,101,0.43,0.857,0.257,19,39,Minnesota Timberwolves,138,0.538,0.783,0.468,35,41
2022-03-04,22100952,2021,1,Denver Nuggets,116,0.453,0.806,0.394,27,41,Houston Rockets,101,0.458,0.682,0.278,25,44
2022-03-04,22100953,2021,1,Phoenix Suns,115,0.447,0.815,0.5,28,33,New York Knicks,114,0.465,0.7,0.448,23,49
2022-03-03,22100710,2021,1,Atlanta Hawks,130,0.524,0.857,0.45,26,33,Chicago Bulls,124,0.591,0.857,0.538,30,32
2022-03-03,22100940,2021,1,Boston Celtics,120,0.517,0.8,0.432,33,51,Memphis Grizzlies,107,0.424,0.769,0.325,24,44
2022-03-03,22100941,2021,0,Brooklyn Nets,107,0.47,0.773,0.387,24,30,Miami Heat,113,0.519,0.821,0.333,27,35
2022-03-03,22100942,2021,0,Toronto Raptors,106,0.434,0.75,0.269,12,41,Detroit Pistons,108,0.452,0.75,0.297,25,42
